name,semrush_profile,twitter,linkedin,facebook,instagram,website,job_title,summary,rank_name,alltime_rank_posts,alltime_rank_comments
A.J. Ghergich,https://www.semrush.com/user/146125793/,https://twitter.com/SEO/,https://www.linkedin.com/in/ajghergich/,,,https://brado.net,Founder at Brado,A.J. Ghergich is the CTO of Brado. Follow him at @SEO on Twitter for SEO tips and cat gifs.,Superstar,1,24
Bill Widmer,https://www.semrush.com/user/146424785/,https://twitter.com/TheBillWidmer/,https://www.linkedin.com/in/BillWidmer/,https://www.facebook.com/TheBillWidmer/,,https://billwidmer.com,Content Marketing Expert,"Bill Widmer is a content marketing expert, consultant, and freelance writer. Bill has over four years' experience helping businesses generate more traffic, leads, and conversions from content marketing. He's currently working on creating a course on content marketing to help small business owners create, promote, and profit from content.",Master,2,99
James Brockbank,https://www.semrush.com/user/146886913/,https://twitter.com/brockbankjames/,https://www.linkedin.com/in/james-brockbank/,,,https://digitaloft.co.uk,Managing Director at Digitaloft,"James is Managing Director of award-winning digital PR and SEO agency, Digitaloft, and has been involved in search marketing since the mid-2000s. He's a regular writer on topics including link building, content marketing and eCommerce, having previously contributed to the likes of Search Engine Journal.",Legend,3,110
Judith Lewis,https://www.semrush.com/user/147868609/,https://twitter.com/judithlewis/,,,https://www.instagram.com/decabbit/,http://www.decabbit.com,Founder at Decabbit Consultancy,"Judith is a renowned writer, trainer, blogger and a digital and media consultant specialising in applying strategic understanding of digital technologies to help businesses innovate and optimise their effectiveness within the new, networked communications environment.
She is a regular speaker around the world on SEO, content strategy, link building, PPC, and digital strategy, a contributor to the Huffington Post, and has been recognised by her peers as one of the most influential people in the UK digital industry. 
Judith judges the MENA, EU, US and UK Search Awards, an industry leading award and has every year since their inception. She has worked with market-leading global businesses including Google, Orange, COI, NatWest/RBS, National Gallery, CIPD, Fidelity, GalaCoral, NBC Universal, Readers Digest, Bayer, Family Search, Amadeus, AMD, AmEx, TotalJobs, Virgin.com, Virgin Startup & more.
She has over 20 years of experience, predating Google in her entry into the market and now runs her own consultancy. She has worked at Centaur Publishing, i-level, & Beyond before setting up her own consultancy. Judith also blogs about chocolate, helps with London Girl Geek Dinners, was a founding Modern Muse, and has contributed to the book “Pimp My Site” and the Econsultancy guide to Paid Search. She is currently working on updating the Econsultancy Best Practice guide to SEO and teaches the advanced SEO course as well as the Paid Search courses.",Legend,4,7
Julia McCoy,https://www.semrush.com/user/145716721/,https://twitter.com/JuliaEMcCoy/,https://www.linkedin.com/in/juliaemccoy/,https://www.facebook.com/JuliaEMcCoy/,https://www.instagram.com/fementrepreneur/,https://www.expresswriters.com,"CEO, Author at Express Writers, Content Hacker™","Julia McCoy is a content hacker (noun: growth-focused content marketer). She's the CEO of Express Writers, a content creation agency with over 19,500 successfully completed writing projects since 2011. She's also a bestselling author writing her fourth book, and an industry educator at The Content Hacker™. Read her Write Blog at https://www.expresswriters.com/write-blog and visit her new brand at https://www.contenthacker.com.",Master,5,131
Tim Capper,https://www.semrush.com/user/145705521/,https://twitter.com/GuideTwit/,https://www.linkedin.com/in/tcapper/,,,,,"Tim Capper is the Director of Search at Online Ownership, with 10yrs experience in SEO and SEM. Having owned and operated a restaurant and hotel in the UK’s Lake District, Tim has naturally gravitated towards SEO within the travel market, both nationally and globally. Now Tim is a Google Top Contributor and a moderator in the SEO Questions community on Google+.",Superstar,6,10
Deepak Shukla,https://www.semrush.com/user/146735441/,https://twitter.com/deepakpshukla1/,https://www.linkedin.com/in/deepakseoexpert/,https://www.facebook.com/deepakpshukla1/,https://www.instagram.com/deepakpshukla/,http://www.pearllemon.com/,SEO Director at Pearl Lemon at Pearl Lemon,"Deepak Shukla is the Managing Director at Pearl Lemon; an SEO Agency based in London but operating worldwide and growing aggressively.

We work diligently and comprehensively to outrank our clients competitors for key search terms on Google

Outside of work you'll find Deepak running ultramarathons, Ironmen, getting tattoos and hanging out w/his cat Jenny",Guru,7,74
Guy Sheetrit,https://www.semrush.com/user/147095041/,,,,,,CEO at Over The Top SEO,"Founder and CEO of Over The Top SEO. He holds broad expertise in the areas of SEO, Social Media, Digital Marketing, B2B, B2C Brand Development and online lead generation.",Guru,8,250
Uzair Kharawala,https://www.semrush.com/user/148921953/,https://twitter.com/sfdigital/,https://www.linkedin.com/in/uzairkharawala/,https://www.facebook.com/sfdigitalstudios/,https://www.instagram.com/sfdigital/,https://www.sfdigital.co.uk,Partner at SF Digital Studios,"I run SF Digital Studios along with my wife Farzana. The business was set up in 2002 and we specialise in Google AdWords & YouTube video marketing. I'm a Google Partner & YouTube Certified.
I love Cricket & Photography and follow Chelsea FC.",Master,9,83
Georgi Todorov,https://www.semrush.com/user/146123361/,https://twitter.com/GeorgiTodorovBG/,https://www.linkedin.com/in/georgitodorovbg/,https://www.facebook.com/GeorgiTodorovBG/,,http://digitalnovas.com/,Digital Marketer,"Georgi Todorov is an independent digital marketer, specializing in outreach strategies and international SEO. Besides his passion about digital marketing, he has graduated from university with a bachelor degree in Cultural anthropology which makes him extremely curious about anything ""foreign"" and ""international"". He is always happy to talk with new people and you can reach him at his Facebook, Twitter or Linkedin. He has recently started his own blog about digital marketing",Master,10,169
Jawad Khan,https://www.semrush.com/user/145671553/,https://twitter.com/JawadAliKhn/,,,,https://writingmydestiny.com,Content Marketing Consultant and Pro Blogger at WritingMyDestiny,"Jawad Khan is a content marketing consultant, a certified inbound marketer and a freelance blogger. He helps SaaS companies, tech startups and entrepreneurs find their voice online and connect with their target audience using high quality content. Follow him on Twitter and his blog, WritingMyDestiny.",Guru,11,256
Kevin George,https://www.semrush.com/user/146357553/,https://twitter.com/emailmonks/,https://www.linkedin.com/in/emailmonks/,https://www.facebook.com/emailmonks/,,http://www.emailmonks.com/,Head of Marketing at Email Monks,"Kevin is the Head of Marketing at EmailMonks, one of the fastest growing Email design and coding companies. He loves gadgets, bikes, jazz, and breathes ‘email marketing’. He is a brand magician who loves to engage, share insights with fellow marketers. Check out Kevin's email tutorials and articles at his Email Marketing Blog.",Guru,12,132
Sam Underwood,https://www.semrush.com/user/151703777/,https://twitter.com/SamUnderwoodUK/,,,,https://www.samunderwood.co.uk/,,"Sam Underwood, a digital marketing expert with proficiencies in SEO, data analysis, site speed, CRO/UX and content strategy. 

Sam has experience working on enterprise search strategies for some of the UK's largest brands such as AO, Reiss & Compare The Market.",Master,13,431
Joydeep Bhattacharya,https://www.semrush.com/user/145669937/,https://twitter.com/seoforu/,,,,,,"Joydeep Bhattacharya has over a decade of experience in digital marketing. He maintains a personal SEO blog, Seosandwitch.com where he shares stuff related to SEO, PPC, Social Media and Conversion Optimization.",Superstar,16,21
Sagi Solomon,https://www.semrush.com/user/145849345/,https://twitter.com/SolomonSagi/,https://www.linkedin.com/in/solomonsagi/,,,,,"Sagi is an online marketing expert and the head of SEO at InboundJunction, a premium content marketing agency based in Israel. With his technical and creative abilities, Sagi is constantly looking for the latest SEO trends and tools to formulate a winning search strategy. You can connect with him on LinkedIn and follow him on Twitter.",Master,17,583
Chris Giarratana,https://www.semrush.com/user/146660417/,https://twitter.com/CJGiarratana/,https://www.linkedin.com/in/christophergiarratana/,,,https://www.strategybeam.com/,Content Strategist at StrategyBeam,"Chris is a professional digital marketing consultant with 13 years of experience helping businesses understand and reach their audience in new and interesting ways. He focuses on customer needs balanced with freelance copywriting, PPC, and market analysis.",Master,18,167
Shirish Agarwal,https://www.semrush.com/user/146994049/,https://twitter.com/shirish_aga/,https://www.linkedin.com/in/shirisha/,,,https://www.flow20.com,Founder at Flow20,"Obsessed with PPC and SEO since 2005. Founder of Flow20, a Digital Marketing agency in the UK. Obsessed with analysing data and finding ways to convert traffic into revenue.",Master,19,105
Maria Borysova,https://www.semrush.com/user/148058433/,,https://www.linkedin.com/in/maria-borysova/,https://www.facebook.com/mariya.borysova/,,https://opsway.com/,Marketing strategist,Change is inevitable. Growth is optional. Let's make the world a bit better,Master,21,79
Joel Bondorowsky,https://www.semrush.com/user/148768449/,https://twitter.com/liquidjoel/,https://www.linkedin.com/in/joelbondorowsky/,https://www.facebook.com/liquidjoel/,,,,"Joel Bondorowsky can be described as a true PPC addict. The last thing he does before bed is check his stats, which is also the first thing he does after waking up. It is his love for the job that feeds this addiction. He dabbled with his first small campaigns back in 2000, when PPC was at its infancy. However, it wasn’t until 2010, when he started working at Wix.com, when he got into more extreme PPC. After leaving Wix, Joel started a boutique ad agency called Quality Score where he managed some of the largest PPC campaigns in history. Today, he serves as the SEMrush Academy PPC professor s well as founder of PPCDesigns, a new boutique agency providing tailor made marketing solutions for large, mass market activities.",Superstar,23,91
Aaron Agius,https://www.semrush.com/user/146124849/,https://twitter.com/IAmAaronAgius/,https://www.linkedin.com/in/aaronagius/,https://www.facebook.com/IAmLouderOnline/,,,Co-Founder and Managing Director at Louder Online,"Aaron Agius is an experienced search, content and social marketer. He has worked with some of the world’s largest and most recognized brands, including Salesforce, Coca-Cola, Target and others, to build their online presence. See more from Aaron at Louder Online, his blog, Facebook, Twitter, Google+ and LinkedIn.",Superstar,24,42
Martin Woods,https://www.semrush.com/user/145798961/,https://twitter.com/indigoextra/,,https://www.facebook.com/indigoextra/,,http://www.indigoextra.com/,SEO Director at Indigoextra,"Martin Woods is the International SEO Director at www.indigoextra.com. Martin is a highly accomplished online marketing expert and manages a team of graphic designers, web designers, translators, copywriters and multilingual link builders. 

Indigoextra’s clients experience a rapid growth in traffic as a result of Indigoextra’s professional website analysis, content writing and link building services.

As a result of Google's ongoing updates, particularly RankBrain, SEO shortcuts simply no longer work, which is why we focus on quality, by creating engaging and original content and links from high authority sites.

---

Martin Woods est le directeur SEO international de www.indigoextra.com. Martin est un expert en marketing online hautement qualifié qui gère une équipe de graphistes, de concepteurs web, de traducteurs, de rédacteurs de contenu et de créateurs de liens multilingues.

Les clients d'Indigoextra connaissent une croissance rapide de leur trafic grâce à une perspicacité dans le choix des mots-clés, une analyse de site professionnelle menée par Indigoextra, des services efficaces de rédaction de contenu et de construction de liens.

L'équipe d'Indigoextra pense qu'en raison des mises à jour continues de Google, en particulier RankBrain, qu'il est essentiel de se concentrer sur la qualité en créant un contenu original et engageant mais aussi créer des liens provenant de sites dont le niveau d'autorité est élevé.",Master,25,113
Bartosz Góralewicz,https://www.semrush.com/user/146173345/,https://twitter.com/bart_goralewicz/,https://www.linkedin.com/in/goralewicz/,https://www.facebook.com/goralewicz/,https://www.instagram.com/bartoszgoralewicz/,https://www.onely.com/,CEO at Onely,"Bartosz Goralewicz has been a staple in the SEO industry over the last decade as both the co-founder of Elephate (2018’s “Best Small SEO Agency” in Europe) and a thought leader. His ground-breaking research on JavaScript SEO has been the subject of numerous viral articles and has brought him on stages all over the world to share his knowledge. In 2019, he decided to go even more technical and founded Onely – the one and only technical SEO house. Onely’s specialized team works with Fortune 100 companies and other major international brands while continuing to push the envelope in technical SEO. He is also a husband and father of two.",Master,26,368
Kunal Khullar,https://www.semrush.com/user/149107521/,,https://www.linkedin.com/in/kunal-khullar-cofounder-tbi/,,,https://www.brihaspatitech.com/,Co Founder at The Brihaspati Infotech,"Kunal Khullar is a Co-Founder at The Brihaspati Infotech, a leading IT consulting & service provider. He holds 10+ years of experience with providing software services, development and team management with diverse offshore software consulting firms all across the globe. 
He is passionate about technology and believes in serving today’s diversified business world with his knowledge and expertise.",Guru,27,46
Megha Parikh,https://www.semrush.com/user/146435121/,https://twitter.com/megparikh/,https://www.linkedin.com/in/meghaparikh11/,https://www.facebook.com/meghaparikh11/,,http://www.meghaparikh.com/,Digital Marketer,Megha Parikh is a digital marketing expert has been journeying through the world of digital marketing for more than 7 years. She especially enjoys learning about social media marketing and conversion rate optimization while exploring her social and interpersonal skills.,Pro,28,0
Katie Cunningham,https://www.semrush.com/user/147122145/,https://twitter.com/kac4509/,https://www.linkedin.com/in/kathryncunningham09/,,,http://thektcunningham.com/,SEO Manager at Seer Interactive,"Katie leads SEO strategy for a range of B2B and e-commerce clients at Seer. Using her expertise in Excel and passion for numbers, Katie manages a variety of B2B, E-Commerce, and Healthcare clients.",Master,29,534
Ron Dod,https://www.semrush.com/user/145690609/,,,,,,,"Ronald Dod is a partner and CEO of Visiture, LLC. After founding Grey Umbrella Marketing, an internet marketing agency which focuses on Search Engine Optimization for e-commerce businesses, he merged with Visiture to create a full service search marketing offering for eCommerce businesses. His passion is helping eCommerce business owners and marketing professionals navigate the search marketing landscape and use data to make more effective decisions to drive new traffic and conversions.",Master,30,201
Ashok Sharma,https://www.semrush.com/user/147439841/,https://twitter.com/Ashok83/,https://www.linkedin.com/in/ashokssharma/,,,https://www.signitysolutions.com/,Signity Solutions,"Ashok Sharma is the Digital Strategist, and he helped businesses gain more traffic and online visibility through technical, strategic SEO and targeted PPC campaigns. 
Connect him on LinkedIn and follow him on Twitter for a quick chat.",Master,31,50
Lilach Bullock,https://www.semrush.com/user/146644273/,,,,,,Owner at Lilach Bullock,"Highly regarded on the world speaker circuit, Lilach has graced Forbes and Number 10 Downing Street. She’s a hugely connected and highly influential entrepreneur. Listed in Forbes as one of the top 20 women social media power influencers and was crowned the Social Influencer of Europe by Oracle. She is listed as the number one Influencer in the UK by Career Experts and is a recipient for a Global Women Champions Award for her outstanding contribution and leadership in business.",Master,32,67
Paul Paquin,https://www.semrush.com/user/147484385/,https://twitter.com/pauljpaquin/,https://www.linkedin.com/in/paulpaquingoldenfinancialsvs/,https://www.facebook.com/paul.paquin.golden.financial.services/,,https://goldenfs.org/,CEO at Golden Financial Services,"At Golden Financial Services, where we offer credit card debt relief programs, we love SEO! Here's why ... SEO is the liaison between Golden Financial Services and our potential clients who need help with debt relief. Search engine marketing gives us the ability to use quantitative data to create targeted messaging, directly answering the questions that our potential clients are asking. SEO is the vehicle that drives financial education from our San Diego debt relief office, straight to the homes of the millions' of consumers who are struggling to get out of debt and searching for relief on Google. At Golden Financial Services we use federal laws, like the Credit Card Act and Fair Credit Billing Act to fight illegal debt collection and fraudulent creditors – getting unsecured debt and credit card balances dismissed and interest eliminated in many cases. Over the last 15-years, our programs have proven to be effective and come with a 100% money back guarantee. We created the NoMoreCreditCards.com/Debt-Relief-Blog/ to share our step by step instructional guides on how to reduce balances, remove inaccurate and derogatory marks off credit, and on how to use unsecured debt to build high credit scores, high credit limits, and much more! Visit us online https://goldenfs.org/san-diego-debt-relief/",Pro,33,134
Jennifer Slegg,https://www.semrush.com/user/145939089/,https://twitter.com/jenstar/,,,,,The SEM Post,"Jennifer Slegg is a longtime speaker and expert in search engine marketing, working in the industry for over 20 years. When she isn't sitting at her desk writing and working, she can be found grabbing a latte at her local Starbucks or planning her next trip to Disneyland. She regularly speaks at Pubcon, SMX, State of Search, Brighton SEO and more, and has been presenting at conferences for over a decade.",Master,34,0
Joe Martinez,https://www.semrush.com/user/146079697/,https://twitter.com/MilwaukeePPC/,https://www.linkedin.com/in/joemartinezppc/,,,http://www.joemartinezsem.com/,Director of Client Strategy at Clix Marketing,"Joe Martinez is the Director of Client Strategy for Clix Marketing. His focus on marketing psychology and user experience helps his clients achieve record growths and lifetime customers. While he is hands-on in all aspects of PPC, his true passions lie in Display, Remarketing, and YouTube.

He is a regular contributor to Search Engine Land, Marketing Land, and WordStream. He has also written for PPC Hero, SEMrush, Unbounce, Leadpages, Optmyzr, and AdStage. He has hosted webinars for SEMrush, Unbounce, Quora and Bing Ads. He regularly speaks at conferences such as SMX Advanced, SMX West, SMX East, HeroConf, Confluence Conference, Digital Olympus and more. Finally, he was named a Top 25 Influential PPC Expert by PPC Hero in 2017 and 2018.",Master,35,139
Lucinda Honeycutt,https://www.semrush.com/user/145673809/,https://twitter.com/lehoneycutt/,,,,,,"Lucinda Honeycutt is a freelance writer and web designer nestled in the mountains of western North Carolina. She’s a tech geek, foodie, and research junkie. She writes about a little bit of everything.",Pro,36,775
Shane Barker,https://www.semrush.com/user/145670897/,https://twitter.com/shane_barker/,https://www.linkedin.com/in/shanebarker/,https://www.facebook.com/shane.barker.14/,,https://shanebarker.com/,,"Shane Barker is a digital marketing consultant who specializes in sales funnels, targeted traffic, and website conversions. He has consulted with Fortune 500 companies, influencers with digital products, and a number of A-List celebrities.",Superstar,37,18
Lesley Vos,https://www.semrush.com/user/145843793/,https://twitter.com/LesleyVos/,,,,,,"Lesley Vos is a content writer eagering to become a pro content marketer. Passionate about words, texts, and literature. Wonderer and dreamer. Happy to meet you on @LesleyVos.",Pro,38,101
Jini Maxin,https://www.semrush.com/user/146421665/,https://twitter.com/Jinimaxin/,https://www.linkedin.com/in/jininepoleon/,https://www.facebook.com/openxcelltechnolabs/,,,Senior Writer at OpenXcell,Jini Maxin is a Senior Writer with OpenXcell which offers mobile app development services across the globe. A voracious reader who pours all her learning into producing well-researched and data-driven posts. You can connect with her on Twitter.,Pro,39,1279
Jason Hawkins,https://www.semrush.com/user/145677665/,,,,,,Co-Founder & CEO at The Miami SEO Company,"Jason Hawkins is the CEO & Co-Founder of The Miami SEO Company. He has over ten years of experience in search engine optimization, conversion rate optimization and lead generation. His core responsibilities include identifying ways to increase value of services rendered, training staff on advanced SEO topics, and A/B testing internal processes to consistently improve client return on investment.",Master,40,309
Shannon Roddy,https://www.semrush.com/user/146631137/,https://twitter.com/sellercourses/,https://www.linkedin.com/in/shannon-roddy/,https://www.facebook.com/MarketplaceSellerCourses/,https://www.instagram.com/MarketplaceSellerCourses/,https://www.marketplacesellercourses.com/,Amazon Specialist at Marketplace Seller Courses,"Shannon Roddy is an Amazon consultant with over 6 years of experience helping brands make the most of their Amazon experience and creator of Marketplace Seller Courses, an online course for brands and private labels selling on Amazon.",Master,41,43
Sergio Aicardi,https://www.semrush.com/user/145665969/,https://twitter.com/SEOcompanyMiami/,,https://www.facebook.com/TheMiamiSEOCompany/,,,,"Sergio Aicardi is the owner of The Miami SEO Company and lives in sunny South Florida. He offers consulting to many marketing companies in Miami and business owners alike. His responsibilities include developing business relationships and optimizing internal processes to ensure the business is constantly growing, while constantly enhancing the quality of services rendered.",Superstar,42,36
Dan Petrovic,https://www.semrush.com/user/149755025/,https://twitter.com/dejanseo/,https://www.linkedin.com/in/seoguy/,https://www.facebook.com/dejanpetrovich/,,https://dejanmarketing.com/,Director at DEJAN MARKETING,"Dan Petrovic, the managing director of DEJAN, is Australia’s best-known name in the field of search engine optimisation. Dan is a web author, innovator and a highly regarded search industry event speaker.",Master,43,207
Elias Dabbas,https://www.semrush.com/user/153946385/,https://twitter.com/eliasdabbas/,https://www.linkedin.com/in/eliasdabbas/,,,https://github.com/eliasdabbas/advertools/,,"I've been doing online marketing for more than ten years, mainly focusing on advertising campaigns.
Currently focusing on making open source data science tools for online marketing productivity and analysis.",Master,44,45
Sergey Grybniak,https://www.semrush.com/user/146211809/,https://twitter.com/grybniak/,https://www.linkedin.com/in/sergey-grybniak-3b59944a/,https://www.facebook.com/sergey.grybniak/,,https://clever-solution.com/,Founder at Clever Solution Inc.,"Mobile & Web Development and Digital Marketing Expert. 
Founder of opporty.com, clever-solution.com and singree.com
Co-founder of carvoy.com and vericost.com",Pro,45,228
Philip Kushmaro,https://www.semrush.com/user/149161377/,https://twitter.com/PhilipKushmaro/,https://www.linkedin.com/in/philipkushmaro/,https://www.facebook.com/pkdma/,,https://www.pkdma.com,Founder at PKDMA,"Philip Kushmaro - Digital Marketing Ambassador (former digital marketing agency VP Operation + Bizdev + Head of SEO) is a junkie of many things. Startups and how the world works are what interests him the most, especially the psychology behind everything. 
He believes that everyone that wants to succeed in business must be efficient in Digital Marketing. No excuses!
When not at work then probably at a grappling gym training. Oh and he can read Google's Mind. He can hear it laughing at him right now. ;)",Pro,46,177
Larry Alton,https://www.semrush.com/user/145668161/,https://twitter.com/LarryAlton3/,,,,,,"Larry Alton is an independent business consultant specializing in social media trends, business and entrepreneurship. Follow him on Twitter and LinkedIn.",Guru,47,1348
Liraz Postan,https://www.semrush.com/user/150389889/,https://twitter.com/rliraz/,https://www.linkedin.com/in/liraz-rahmin-postan/,https://www.facebook.com/rliraz/,https://www.instagram.com/rliraz/,https://www.lirazpostan.com,International B2B SEO and Content Expert at LP Marketing Services,"International SEO and Content Expert for more than 11 years
Leading SEO and content strategies from B2C to B2B, from Gaming to business niches in corporate companies: Outbrain, Plarium, 888.com, Neogames and more. International SEO speaker at BrightonSEO and more.
Follow on Twitter: @rliraz",Guru,48,31
Chad Harwood - Jones,https://www.semrush.com/user/146603057/,,,,,,Managing Director at Ad-Rank Media,Managing Director at Ad-Rank Media,Pro,49,0
Manish Bhalla,https://www.semrush.com/user/146335905/,https://twitter.com/manishbhallasic/,,,,http://www.fatbit.com/,,"Manish Bhalla is the founder and CEO of India’s e-commerce web development and marketing agency FATbit Technologies. He acts as an e-commerce strategist and leads the way for businesses looking for secure space in a specific industry. Manish is acknowledged as an e-commerce expert who has helped many startups find strong footholds online with customer driven-solutions and high-powered growth. For latest marketing strategies and insights, you can follow Manish through his company’s Twitter profile.",Pro,50,260
Ivan Kreimer,https://www.semrush.com/user/145748929/,https://twitter.com/IvanKreimer/,https://www.linkedin.com/in/ivankreimer/,,,http://ivankreimer.com/,Content Marketer at Ivan Kreimer,"Ivan Kreimer is a freelance content marketer, e-commerce store owner and online marketing consultant. In his blog, he shares about everything he knows about e-commerce, SaaS, online marketing and entrepreneurship.",Pro,51,0
Dmytro Spilka,https://www.semrush.com/user/146125057/,https://twitter.com/SolvidDigital/,,https://www.facebook.com/SolvidDigital/,,https://solvid.co.uk/,Head Wiz at Solvid.,"Dmytro is a CEO of Solvid, a creative content creation agency based in London. He's also the founder of Pridicto, a web analytics startup. His work has been featured in various publications, including Entrepreneur.com, TechRadar, Hackernoon, TNW, Huff Post, and ReadWrite.",Pro,52,0
Álvaro Verdoy,https://www.semrush.com/user/146744577/,https://twitter.com/a_verdoy/,https://www.linkedin.com/in/alvaroverdoy/,,,https://saleslayer.com,CEO at Sales Layer,"CEO and co-founder of saleslayer.com, the solution that helps companies curate their product content.",Pro,53,465
Greg Shuey,https://www.semrush.com/user/145787329/,https://twitter.com/shuey03/,https://www.linkedin.com/in/shuey03/,,,https://www.stryde.com,Co-Founder - Managing Partner at Stryde,"I run the day-to-day operations at Stryde, a digital marketing agency that helps ecommerce businesses tell their story, increase awareness, and acquire new customers. Our core offering consists of SEO, PPC, Social, Content Marketing, Email, and Influencer Marketing.",Pro,54,303
Kristin Tynski,https://www.semrush.com/user/167117009/,https://twitter.com/kristintynski/,https://www.linkedin.com/in/kristintynski/,,,http://frac.tl,SVP and Partner at Fractl,"Kristin Tynski is the SVP of Creative and a co-founder at Fractl, a boutique growth agency based in Delray Beach, FL. Prior to Fractl, she was one of the owners of Voltier Digital, a full service agency that was acquired in 2011.",Pro,55,315
Amanda Clark,https://www.semrush.com/user/145665777/,https://twitter.com/GrammarChicInc/,,,,,,"Amanda E. Clark is CEO and Editor-in-Chief at Grammar Chic, Inc. You can follow her company on Twitter.",Master,56,2051
Tony Messer,https://www.semrush.com/user/145857985/,https://twitter.com/antonymesser/,https://www.linkedin.com/in/tonymesser/,https://www.facebook.com/pickaweb.co.uk/,,https://www.pickaweb.co.uk/,CEO at Pickaweb Ltd,"Tony Messer founded UK web hosting company www.pickaweb.co.uk back in 2000 in the spare room and has gone on to provide online services for tens of thousands of UK businesses. Tony loves to help business owners get the most out of their websites and to that end he co-authored the 5 Star Amazon rated book ""The Lazy Website Syndrome"" with his business partner Pilar Torres Wahlberg. Tony splits his time between the UK and his home in the South of Spain.",Pro,57,0
Dario Supan,https://www.semrush.com/user/147626785/,https://twitter.com/PointVisible/,,https://www.facebook.com/PointVisible/,,https://www.pointvisible.com/,Content Marketer and Editor at Point Visible,"Dario Supan is a content strategist and editor at Point Visible, a marketing agency providing custom outreach and link building services. When he isn’t neck-deep in outreach projects and editorial calendars, you will most likely find him designing a custom graphic for his next exciting post.",Pro,58,670
Luca Tagliaferro,https://www.semrush.com/user/147085601/,,https://www.linkedin.com/in/luca-tagliaferro-509b709/,,,https://www.lucatagliaferro.com,Director of Digital Marketing at Suada.com,"Luca Tagliaferro (www.lucatagliaferro.com) is the Director of Digital Marketing at Suada.com, an online training company specialised in sales transformation, negotiation and persuasion courses. Luca has worked within the fitness, publishing, software and public administration industries helping companies to better acquire and analyse their users. He holds a Master Degree in Digital Marketing from a UK leading university.",Guru,59,219
Olga Rabo,https://www.semrush.com/user/146010273/,https://twitter.com/olgarabo/,https://www.linkedin.com/in/olgarabo/,https://www.facebook.com/Iconosquare/,,https://pro.iconosquare.com,Demand Generation Manager at ICONOSQUARE,"Hey there. I'm Olga and I manage lead generation at Iconosquare the leading analytics & marketing tool for Facebook & Instagram. Previously, I ran content marketing for a SaaS startup in Berlin. 
Feel free to reach out at olga@iconosqua.re if you have any cool content collab ideas!",Pro,60,4964
Adam White,https://www.semrush.com/user/146079745/,https://twitter.com/realAdamWhite/,https://www.linkedin.com/in/adam-white-14a74b4/,,,https://seojet.net,Owner at SEOJet,"Adam White is the founder of SEOJet, backlink management software that helps marketers build amazing backlink profiles, and Guest Post Tracker, an online software that helps SEO companies get access to 1000+ guest blogging sites. In his spare time wrote and directed a feature film. He lives in Arizona with his wife and 6 children.",Master,61,44
Anna Talerico,https://www.semrush.com/user/145673153/,https://twitter.com/annatalerico/,,,,,,Anna Talerico is Co-Founder of ion interactive.,Pro,62,0
Andrew Raso,https://www.semrush.com/user/145784929/,https://twitter.com/andrewraso1/,,,,,Co-Founder and Director at Online Marketing Gurus,"Andrew Raso is the co-founder and director of the Online Marketing Gurus, a fast-growing, award-winning search company working with some of the world's leading brands, including Coca Cola, Salesforce and Freshbooks. Follow him on Twitter @andrewraso1.",Master,63,2136
Silvio Porcellana,https://www.semrush.com/user/145669585/,https://twitter.com/silvioporcellan/,,,,,,"Silvio Porcellana is the CEO and Founder of mob.is.it, the online tool over 1,000 agencies and professionals use to build mobile websites and native apps for customers worldwide. From his retreat in the Monferrato Hills in North West Italy, he bootstraps companies, writes about web and mobile marketing, and helps customers succeed online. Find out more about him at mob.is.it/about
Twitter: @silvioporcellan",Pro,64,0
Trond Lyngbø,https://www.semrush.com/user/145755585/,https://twitter.com/trondlyngbo/,https://www.linkedin.com/in/trondlyngbo/,,,https://searchplanet.no,Senior SEO Consultant and Founder at Search Planet,"Trond Lyngbø is the founder of Search Planet and a senior SEO Consultant. He has over 15 years of experience in SEO, e-commerce, content strategy and digital analysis. His clients include multinational Fortune 500 corporations and major Norwegian companies. Trond has helped grow businesses through more effective search marketing and SEO strategies. He is most passionate about working with e-commerce companies and web shops to develop and expand their omni-channel marketing initiatives. Trond is a columnist at Search Engine Land and Marketing Land and co-author of Google It: Total Information Awareness (2016).",Pro,65,455
Daisy-ree Quaker,https://www.semrush.com/user/146012753/,,,,,,,Daisy Quaker is an online marketing strategist focused on helping companies implement or evaluate their inbound marketing approach. She ties PPC with content marketing and marketing automation (HubSpot) to supercharge results. Connect with her on Linkedin or daisyquaker.com.,Pro,66,379
John Warner,https://www.semrush.com/user/148100577/,https://twitter.com/JCPWarner/,https://www.linkedin.com/in/john-warner-72ab49106/,,,https://www.click.co.uk/author/john-warner/,Marketing and Content Executive at Click Consult,"John is an internal marketer at Click Consult where he spends his time accruing industry certifications, tinkering with code, plotting strategy and writing articles on all aspects of search marketing.

While having a masters degree in creative writing and a background predominately in content, John has found himself drawn to the technical side of SEO – developing a passion for data, research, interactivity, artificial intelligence and voice search.

John occasionally appears on the blogs of various digital and marketing sites including regular articles on the Click Consult blog, contributions to quarterly search marketing magazine 'Benchmark', speaks at various search and digital marketing conferences and occasionally hosted the on.click podcast (and will again at some point - time permitting).",Pro,67,173
